unix,open,high,low,close,Volume ETH,Volume USDT
1.61032E+12,1254.24,1260,1224.52,1226.84,22862.00677,28340228.96
1.61024E+12,1276,1348.33,1170,1254.25,1951179.35,2517791852
1.61015E+12,1216.72,1304.37,1171.36,1276,1448871.115,1780137376
1.61006E+12,1224.86,1273.75,1065,1216.93,2131172.923,2543427453
1.60998E+12,1208.75,1289,1131,1224.87,1972922.821,2406219891
1.60989E+12,1100.16,1213,1057.26,1208.42,2390136.593,2725262121
1.6098E+12,1041.45,1134.6,974.45,1099.56,2706995.675,2857050280
1.60972E+12,978.33,1162.97,890,1041.43,4245010.94,4303634203
1.60963E+12,774.44,1011.07,768.71,978.28,2813603.886,2522411860
1.60955E+12,728.91,787.69,714.91,774.56,1352618.577,1024472183
1.60946E+12,736.42,749,714.29,728.91,675114.0933,496072043.8
1.60937E+12,752.17,755.74,722,736.42,863375.5798,638503822.4
1.60929E+12,732,758.74,716.62,752.17,1008574.099,743546676.8
1.6092E+12,730.4,740.78,689.2,732,1106876.359,794643540.5
1.60911E+12,685.1,748.09,681.04,730.41,1627154.393,1180438285
1.60903E+12,637.44,717.13,625,685.11,1859968.15,1247547957
1.60894E+12,626.78,652.91,615.26,637.44,958585.5065,607664782
1.60885E+12,612.31,634.24,604.28,626.82,798009.6292,494089140.9
1.60877E+12,585.48,615.02,565.43,612.31,886335.8633,519843557
1.60868E+12,636.41,638.44,551.28,585.56,1208807.365,733443630.4
1.6086E+12,607.68,637.73,588,636.45,918851.2565,563872004.6
1.60851E+12,638.1,648,595.9,607.58,843251.1657,524208673.9
1.60842E+12,658.05,661.39,621.01,638.18,823958.2284,533109285.7
1.60834E+12,653.76,669.95,645.42,658.03,858803.8846,564029933.3
1.60825E+12,642.71,664.61,629.4,653.85,1000012.98,646217791.2
1.60816E+12,637.18,676.25,625.76,642.7,2006130.02,1307445033
1.60808E+12,588.78,640,580.71,637.18,1185588.051,725009244.4
1.60799E+12,586.29,597.2,578.58,588.64,569270.5201,334543178.4
1.6079E+12,590.81,591.48,575.6,586.29,493012.0271,288110224
1.60782E+12,568.09,595,563.22,590.7,657794.4616,383072560.3
1.60773E+12,544.46,574,543.1,568.04,573913.9531,320867352.5
1.60764E+12,558.99,560.8,535.5,544.43,768921.7832,419607430.4
1.60756E+12,573.2,575.7,548.11,558.99,608414.5147,341352126.3
1.60747E+12,554.92,578.08,530.43,573.09,997192.1674,555142155.9
1.60739E+12,591.27,595,549.22,554.94,804443.0072,461781203.2
1.6073E+12,601.59,603.15,584.22,591.28,498329.3759,295598087
1.60721E+12,596.82,607.5,583,601.54,602496.9634,359236400.3
1.60713E+12,567.24,597.11,560.88,596.8,701567.9556,410382624.7
1.60704E+12,615.84,620,565.82,567.24,1052452.787,624543865.9
1.60695E+12,596.88,623.44,585.82,615.85,935687.9172,568024618.9
1.60687E+12,585.26,604.93,575,596.89,1069538.656,632858653.2
1.60678E+12,616.65,635.7,560,585.26,2163875.814,1300668283
1.60669E+12,576.32,616.85,570.07,616.66,1501989.454,895373784.8
1.60661E+12,537.5,576.9,530.32,576.3,855276.4666,471629262.2
1.60652E+12,518.59,547.94,506.59,537.52,900508.6143,475169074.7
1.60644E+12,519.83,530.62,493.72,518.68,1088064.281,558985308.9
1.60635E+12,569.38,577.14,481,519.83,2683460.742,1386030255
1.60626E+12,604.98,606,553.83,569.5,1219440.027,716972340.7
1.60618E+12,608.58,623,585,604.97,1606450.492,976376501.3
1.60609E+12,560.03,610.85,550.12,608.58,2076008.848,1218150934
1.606E+12,552.42,580.88,511.28,560.03,1850317.936,1014064539
1.60592E+12,510.12,553.32,502.82,552.35,1548851.291,815402228.5
1.60583E+12,471.26,514.4,470.65,510.12,1516361.907,756660192.9
1.60574E+12,478.43,480.75,464.86,471.25,817418.5269,387199111.4
1.60566E+12,482.11,495.31,456.6,478.41,1477696.291,706704397.4
1.60557E+12,460.51,484.88,459.8,482.15,1151573.375,544239665.4
1.60548E+12,448.07,466,445.45,460.55,812060.4464,370889706.7
1.6054E+12,460.9,462.89,440.19,448.08,665217.5667,301406126.5
1.60531E+12,476.42,477.47,452,460.89,735252.7854,340142257.2
1.60523E+12,462.48,478.01,457.12,476.43,976665.0975,456232937.2
1.60514E+12,463.09,470,451.2,462.39,990776.6291,455971309.2
1.60505E+12,450.34,476.25,449.28,463.09,1205782.843,559228791.9
1.60497E+12,444.32,455,438.7,450.34,866872.4111,388190148.2
1.60488E+12,454.29,459.1,433.09,444.32,1099213.246,491928165
1.60479E+12,435.2,460.1,431.99,454.3,840908.4684,375679148.2
1.60471E+12,455.91,468.28,424.14,435.21,1653416.596,743871175.8
1.60462E+12,416.73,458.27,414.76,455.91,1682440.96,736015135.6
1.60453E+12,402.5,420.4,396.14,416.69,1475139.773,601591250.4
1.60445E+12,387.88,408.39,376.47,402.49,1157064.351,454481208.4
1.60436E+12,383.01,390,370.23,387.88,752954.3711,286291774
1.60428E+12,396.68,404.5,377.92,383.02,779968.5796,304223545.9
1.60419E+12,386.44,398.29,384.61,396.67,438952.9557,171238317.7
1.6041E+12,382.59,394.88,379.9,386.46,467453.8105,181136851.5
