unix,open,high,low,close,Volume LTC,Volume USDT
1610320000000,170.06,170.74,166.71,167.63,22957.935,3869362.759
1610240000000,177.27,185.83,161.86,170.07,2269705.045,397700165.6
1610150000000,172.28,178.8,163.3,177.26,1749781.85,299170389.3
1610060000000,169.35,181.92,150,172.19,2843159.703,479867965.5
1609980000000,168.96,181.22,161.18,169.35,2493533.995,424745168.5
1609890000000,158.46,169.72,154.95,168.92,1857831.432,302208185.3
1609800000000,155.33,162.8,146.52,158.43,1998205.924,308980342.2
1609720000000,161.23,173.66,139.31,155.34,3530422.204,551040498.9
1609630000000,136.94,164.7,135.3,161.24,3813834.077,568621276.8
1609550000000,126.2,142,123.15,136.96,2442266.765,323461384.2
1609460000000,124.22,133.97,122.89,126.24,1539801.808,197556175.4
1609370000000,130.06,130.35,121.98,124.21,1248723.034,156991311
1609290000000,128.8,133.11,122.63,130.05,1727676.641,220908109.4
1609200000000,129.84,130.9,120,128.8,1732248.384,218608845.4
1609110000000,127.83,137.41,126.37,129.83,2349842.955,309678082.1
1609030000000,129.61,139.47,121.88,127.88,3743173.13,494840941.2
1608940000000,127.74,135.19,124.94,129.61,3461075.647,449830181
1608850000000,111.13,128.63,108.18,127.78,3117913.949,370546271.5
1608770000000,102.46,112.32,98.55,111.13,2696980.517,282469396.4
1608680000000,114.31,117.29,95.23,102.45,3923591.074,424020893.5
1608600000000,104.48,114.63,98.35,114.32,3210319.325,342738420
1608510000000,114.59,118.65,100.31,104.45,2599527.814,283146069.8
1608420000000,119.85,123.21,109.76,114.58,2671305.328,313367367.8
1608340000000,109.34,124.24,105.31,119.85,2753360.2,316850965.4
1608250000000,100.99,112.88,99.24,109.34,3141671.536,337670222.2
1608160000000,92.94,109.8,90,101.01,4161454.893,414585850.7
1608080000000,81.36,93.44,78.31,92.94,2349124.199,201924000.2
1607990000000,82.38,84.93,80.39,81.32,1348469.209,110776073.6
1607900000000,82.27,82.98,79.11,82.35,1102081.73,89440711
1607820000000,76.64,84.38,75.52,82.28,1278882.983,102688853.3
1607730000000,72.2,77.58,71.97,76.67,872394.1288,65737747.08
1607640000000,74.77,75.09,69.87,72.2,1484095.852,106519712.2
1607560000000,77.41,77.66,72.51,74.7,900570.5582,67806633.7
1607470000000,76.75,78.14,72.13,77.41,1378314.594,104645905.7
1607390000000,83.37,84.83,75.41,76.76,1230953.87,98587741.42
1607300000000,83.54,86.87,81.73,83.37,1145446.474,96166838.19
1607210000000,83.11,85.19,80.31,83.55,921046.76,76405873.32
1607130000000,79.52,84.28,78.61,83.14,1278363.446,104622408.6
1607040000000,89.01,89.84,77.8,79.52,1701697.853,144315548.7
1606950000000,88.89,91.5,85.46,89,1690248.459,149648537.5
1606870000000,85.07,90.63,82.61,88.9,2135078.479,185587960.3
1606780000000,87.66,93.01,79.56,85.08,3600461.263,316329074.1
1606690000000,78.89,88.46,76.63,87.65,2118965.668,176439147.8
1606610000000,72.68,81.07,71.51,78.91,1514540.211,115532599.7
1606520000000,69.18,74.97,68.26,72.7,1483068.359,106171116.7
1606440000000,70.99,73.5,65.3,69.15,1707521.504,118203288.9
1606350000000,81.75,83.29,64.45,71,3435959.295,251435782.4
1606260000000,89.27,90.76,78.05,81.75,1631940.241,141140495.3
1606180000000,89.04,94.02,84.6,89.25,2621715.643,235080123.6
1606090000000,82.87,90.93,80.8,89.03,2535636.068,220072734.2
1606000000000,87.09,87.92,77.3,82.87,2048304.581,171408076
1605920000000,82.55,88.5,80.1,87.14,2521719.408,212594343
1605830000000,81.54,85.63,79.99,82.53,2386175.152,196229165.3
1605740000000,73.41,83.4,71.47,81.53,2773824.056,216138873.6
1605660000000,76.32,77.13,67.77,73.42,2653342.041,193749896.7
1605570000000,73.83,77,71.36,76.32,2844994.899,210321473.6
1605480000000,62.29,74.62,62.08,73.84,2526207.16,174408345.8
1605400000000,63.83,64.43,61.08,62.28,685249.755,42937719.08
1605310000000,65.96,66.32,61.63,63.85,1017826.058,64664038.17
1605230000000,60.72,66.66,60.14,65.96,1974381.67,125824947
1605140000000,59.28,60.82,57.6,60.72,830578.2623,48949867.85
1605050000000,57.94,60.53,57.8,59.27,824536.8815,49135913.09
1604970000000,59.22,59.6,57.04,57.93,639990.2161,37334044.16
1604880000000,61,61.86,57.37,59.23,997800.7853,59500899.17
1604790000000,58.9,62.03,58.52,61.02,795875.095,47974026.23
1604710000000,63.22,64.77,57,58.9,1655539.627,101656386.8
1604620000000,58.94,63.68,58.61,63.2,1735473.543,106582211.4
1604530000000,54.7,59.73,54.62,58.95,1366335.629,78053912.17
1604450000000,53.96,55.24,51.59,54.67,801009.7913,42873857.89
1604360000000,53.82,54.37,51.13,53.96,672320.1624,35538087.92
1604280000000,55.6,56.84,53.01,53.8,700498.4928,38304588.6
1604190000000,55.69,56.19,54.07,55.6,369373.8115,20377654.87
1604100000000,54.02,56.5,53.6,55.72,593903.9755,32842454.2
1604020000000,54.88,55.78,52.2,54.01,706074.8977,38012823.48
1603930000000,55.76,56.57,53.37,54.87,798253.7344,44138399.06
1603840000000,57.9,60.55,54.71,55.77,1227549.683,70621904.72
1603760000000,56.8,59.06,56.46,57.91,846694.2483,48919719.2
1603670000000,58.83,59.31,54.94,56.82,937505.2703,53674188.74
1603580000000,59.22,60,56.53,58.84,907068.986,52879298.08
1603500000000,55.41,59.64,54.83,59.23,945746.1709,54668506.17
1603410000000,54.35,57,53.02,55.42,1079055.892,59587249.93
1603320000000,52.98,56.31,52.97,54.35,1405890.004,77327816.23
1603240000000,46.88,55,46.85,52.98,1425655.018,73309576.46
1603150000000,47.99,48.46,46.36,46.88,399254.8468,18896873.09
1603070000000,47.54,48.44,46.8,47.99,316808.8316,15130105.41
1602980000000,46.92,47.98,46.78,47.54,164733.2731,7805904.885
1602890000000,47.61,47.64,46.28,46.93,222964.8575,10497057.84
1602810000000,49.52,49.84,45.6,47.6,603775.0779,28593842.02
1602720000000,49.79,50.24,48.8,49.53,349966.0374,17351907.65
1602630000000,49.9,51.04,49.27,49.79,381873.3122,19133732.71
1602550000000,50.58,50.71,48.8,49.89,468445.0522,23391991.81
1602460000000,50.48,51.5,49.24,50.58,622150.7086,31453313.26
1602370000000,48.89,51.27,48.66,50.48,393329.6318,19761562.47
1602290000000,47.78,50.46,47.76,48.88,426163.7388,21004622.66
1602200000000,47.21,48.2,46.59,47.78,402514.8917,19072193.16
1602120000000,46.56,47.5,45.45,47.21,412581.6649,19225906.32
1602030000000,46.01,46.96,45.02,46.55,384596.7196,17705158.85
1601940000000,46.35,48.25,45.52,45.99,650720.4719,30394416.86
1601860000000,46.68,47.08,45.53,46.34,288147.2751,13330240.06
1601770000000,45.5,47.07,45.28,46.69,257423.6619,11876813.23
1601680000000,44.88,45.97,44.72,45.51,225825.7437,10251368.17
1601600000000,46.25,46.97,43.19,44.88,518670.8656,23374092.73
1601510000000,46.26,48.46,45.23,46.25,691422.8161,32358413.42
1601420000000,45.68,46.7,45.44,46.24,294138.0047,13522251.94
1601340000000,45.23,45.85,44.95,45.69,314875.6977,14304470.52
1601250000000,46.05,47.14,44.8,45.23,500347.3406,23201352.78
1601160000000,46.01,46.62,44.56,46.05,299821.6435,13723604.17
1601080000000,46.01,46.56,45.12,46.03,239828.3702,11012106.72
1600990000000,44.92,46.58,43.97,46.02,417026.331,18981897.44
1600910000000,42.99,45.29,42.56,44.92,385922.0493,17040575.24
1600820000000,44.47,45.14,42.25,42.96,416831.7165,18334844.49
1600730000000,43.17,44.79,42.75,44.47,334632.7292,14655664.33
1600650000000,47.1,47.64,41.59,43.16,724381.6674,32251827.73
1600560000000,48.51,48.51,46.15,47.09,309678.1131,14655189.83
1600470000000,48.53,49.03,47.94,48.52,225043.6954,10911627.64
1600390000000,48.85,49.07,47.44,48.54,322351.6254,15606108.21
1600300000000,47.76,49.67,47.64,48.85,412392.2906,20027421.97
1600210000000,48.29,48.75,46.91,47.76,409293.5778,19641762.87
1600130000000,49.08,50.37,48.1,48.31,615374.4693,30324133.01
1600040000000,48.17,49.65,47.11,49.08,493683.7538,23889800.05
1599960000000,50.82,51.04,47.26,48.15,458828.4182,22491968.4
1599870000000,48.95,51.31,48.38,50.8,451949.524,22526760.7
1599780000000,48.65,49.59,47.37,48.96,367092.2209,17795692.86
1599700000000,47.82,49.45,47.77,48.67,474471.8604,23124448.15
1599610000000,47.47,48.81,46.52,47.82,378772.5076,18086146.49
1599520000000,48.85,49.35,45.98,47.47,760182.5056,36217916.47
1599440000000,47.93,49.18,45.22,48.84,826692.5652,39178475.9
1599350000000,47.82,49.25,46.28,47.92,653592.7869,31350140.49
