unix,open,high,low,close,Volume LTC,Volume USDT
1.61032E+12,170.06,170.74,166.71,168.52,19513.82725,3291090.774
1.61032E+12,170.45,171.97,169.39,170.07,48348.53708,8255809.779
1.61032E+12,169.39,172.58,168.23,170.44,46551.15109,7959117.987
1.61031E+12,169.11,170.83,167.58,169.38,71857.46357,12157017.24
1.61031E+12,168.78,169.75,161.86,169.12,215654.2011,35836295.59
1.61031E+12,169.01,172.17,167.54,168.7,54668.58193,9298154.941
1.6103E+12,171.02,172.27,167.62,169.15,72841.42053,12372484.83
1.6103E+12,171.93,172.72,165.3,170.93,151756.1491,25651605.92
1.61029E+12,173.38,176.56,171.55,171.94,62648.26036,10888771.61
1.61029E+12,173.04,174.89,170.02,173.39,57814.40105,9993284.243
1.61029E+12,175.49,176.21,171.58,173.06,77509.10169,13502235.59
1.61028E+12,174.65,177.27,173.72,175.53,75021.08499,13208025.47
1.61028E+12,170.86,175.29,168.89,174.7,131634.6493,22743931.89
1.61028E+12,176.05,176.56,169.33,170.86,171189.4111,29552405.47
1.61027E+12,179.14,180.59,171.73,176.08,161198.9212,28472881.09
1.61027E+12,181.22,182.45,179,179.14,56862.82378,10306783
1.61027E+12,184.53,185.46,179.5,181.22,103443.1185,18824232.6
1.61026E+12,181.66,185.63,181,184.5,86471.93374,15880571.33
1.61026E+12,180.45,182.41,179.87,181.66,50066.28569,9079670.162
1.61025E+12,179.41,182.97,178.89,180.42,75205.44453,13632832.83
1.61025E+12,178.55,181.05,177.19,179.43,87525.25673,15661274.79
1.61025E+12,182.41,182.67,178.25,178.55,76539.75581,13811161.43
1.61024E+12,182.36,183.04,179.76,182.41,85815.36594,15571400.29
1.61024E+12,178.13,185.83,177.98,182.35,150480.5079,27449891.6
1.61024E+12,177.27,179.71,176.57,178.13,98601.21802,17590325.89
1.61023E+12,175.43,178.73,173.76,177.26,107815.7611,19011441.72
1.61023E+12,177.07,178.8,173,175.44,65796.5014,11605914.72
1.61023E+12,176.44,177.17,173.82,177.07,67199.3458,11800226.06
1.61022E+12,172.43,177.54,170.47,176.44,161649.9932,28259419.14
1.61022E+12,171.43,172.9,170.78,172.43,57060.77495,9829277.698
