unix,open,high,low,close,Volume BTC,Volume USDT,gains,losses,gains ave,losses ave,rs,rsi,rsi ma,rsi ema
1.50604E+12,3609.99,3750,3505.55,3595.87,833.3,3011224.81,0,14.12,817.9143003,1356.364131,0.603019706,37.61773508,37.31903136,28.74607138
1.50604E+12,3595.87,3817.19,3542.91,3780,747.79,2781158.57,184.13,0,943.6218503,1259.480979,0.749214848,42.83149373,38.00583983,36.37007118
1.50604E+12,3780,3789.99,3622.76,3660.02,659.82,2439045.2,0,119.98,876.2202895,1289.498052,0.679504935,40.45864472,38.34605067,37.0343433
1.50604E+12,3660.02,3979.87,3653.69,3920.75,720.64,2755957.53,260.73,0,1074.363126,1197.391048,0.897253347,47.29222634,39.72497596,37.71439087
1.50604E+12,3920.75,3976.99,3850.05,3882.35,523.31,2047857.28,0,38.4,997.6229027,1150.263116,0.867299741,46.44673385,40.13125368,38.15655273
1.50604E+12,3882.35,4249.94,3872.81,4193,625.3,2542872.29,310.65,0,1237.014124,1068.101465,1.158142896,53.66386527,40.29837961,39.25444899
1.50604E+12,4193,4300,4101,4174.5,839.55,3510052.09,0,18.5,1148.655972,1010.308503,1.136935865,53.20402374,40.30880459,39.86821227
1.50604E+12,4174.5,4263.86,3952.01,4174.69,1561.22,6403068.39,0.19,0,1066.799117,938.1436103,1.137138393,53.2084584,40.97086431,40.16932941
1.50604E+12,4174.69,4380,4138.1,4378.51,705.52,3025265.75,203.82,0,1194.41918,871.1333524,1.37110946,57.8256501,41.88283891,40.26696204
1.50604E+12,4378.51,4406.52,4240.04,4378.48,724.9,3128231.71,0,0.03,1109.103524,808.9395415,1.371058611,57.82474565,42.95079849,40.75969363
1.50604E+12,4378.48,4561.63,4360,4380,634.55,2811131.03,1.52,0,1031.401844,751.1581457,1.373082153,57.86070876,43.8587685,41.54589532
1.50604E+12,4380,4467.33,4180.8,4310,1070.97,4579122.09,0,70,957.7302838,767.5039924,1.247850556,55.51305681,44.71298032,42.52932754
1.50604E+12,4310,4373,4142,4208.59,859.82,3639917,0,101.41,889.3209778,814.0922787,1.092408074,52.20817523,45.66401548,43.45993622
1.50604E+12,4208.59,4355,4110,4292.43,760.44,3216620.42,83.84,0,909.6380508,755.9428302,1.203315931,54.61386242,47.25995169,44.33706709
1.50604E+12,4292.43,4417,4292,4369,502.17,2193131.64,76.57,0,921.2339044,701.9469138,1.312398254,56.75485405,48.20259447,45.26593096
1.50604E+12,4369,4479.5,4312.56,4423,288.14,1261367.6,54,0,909.4314826,651.8078485,1.395244756,58.25061312,49.19757059,46.66174547
1.50604E+12,4423,4658,4423,4640,504.13,2282412.29,217,0,1061.472091,605.250145,1.753774203,63.68620206,50.46336789,47.74033977
