unix,open,high,low,Volume ETH,Volume USDT,close,gains,losses,gains ave,losses ave,rs,rsi
1502928000,303.61,312.18,298.21,6155.32,1890017.53,302,,,,,,
1503014400,302,311.79,283.94,9392.79,2815460.24,293.96,0,8.04,,,,
1503100800,293.96,299.9,278,2140.08,618248.58,290.91,0,3.05,,,,
1503187200,290.91,300.53,282.85,2469.49,730800.66,299.1,8.19,0,,,,
1503273600,299.1,346.52,294.6,5134.54,1661944.36,323.29,24.19,0,,,,
1503360000,323.29,330.41,144.21,7807.91,2408767.25,309.8,0,13.49,,,,
1503446400,309.8,324.99,309.41,8532.37,2711275.03,315.74,5.94,0,,,,
1503532800,315.74,328.04,314.01,6608.08,2113017.42,323.42,7.68,0,,,,
1503619200,323.42,338.28,323.42,7026.71,2321556.04,327.24,3.82,0,,,,
1503705600,327.24,335.44,323.41,4821.82,1583578.33,330.79,3.55,0,,,,
1503792000,330.79,348.13,330.73,4580.62,1536125.51,348.13,17.34,0,,,,
1503878400,348.13,351,331.95,4230.19,1447042.11,346,0,2.13,,,,
1503964800,346,377.6,346,2900.75,1054485.89,374.7,28.7,0,,,,
1504051200,374.7,393.71,362.05,4331.81,1636125.32,385.93,11.23,0,,,,
1504137600,385.93,389.36,377.78,4375.31,1681160.72,384.79,0,1.14,7.902857143,1.989285714,3.972710952,79.89024478
1504224000,384.79,394.39,383.18,4156.84,1618914.43,388.46,3.67,0,11.00836735,1.847193878,5.959508355,85.63116891
1504310400,388.46,394.32,320.08,7919.71,2791543.78,343.14,0,45.32,10.22205539,47.03525146,0.217327538,17.85284002
1504396800,343.14,367.28,320.08,5012.55,1718948.68,341.77,0,1.37,9.49190858,45.04559064,0.210717818,17.40437078
1504483200,341.77,344.55,267.94,6366.69,1893325.25,283.77,0,58,8.81391511,99.82804845,0.088290969,8.112809103
1504569600,283.77,321.52,235.55,7840.86,2253410.75,312.09,28.32,0,36.50434974,92.69747356,0.393800913,28.25374194
1504656000,312.09,336.34,312.09,5243.66,1714528.14,335,22.91,0,56.80689619,86.07622545,0.659960354,39.75759736
1504742400,335,342.5,320.17,2977.82,985179.06,334.49,0,0.51,52.74926075,80.43792363,0.655776012,39.60535767
1504828800,334.49,335.1,272,4874.53,1481290.06,302.99,0,31.5,48.98145641,106.1923577,0.461252179,31.56554262
1504915200,302.99,307,281.66,2713.25,805572.88,296.74,0,6.25,45.48278095,104.8571893,0.433759299,30.25328586
1505001600,296.74,302.78,261.03,4060.25,1155244.93,293.5,0,3.24,42.23401088,100.60739,0.419790344,29.56706572
1505088000,293.5,304.98,285.21,4779.63,1421764.78,297.3,3.8,0,43.01729582,93.42114788,0.460466359,31.52872069
1505174400,297.3,316.46,286.01,5140.78,1562612.65,293.96,0,3.34,39.94463183,90.08820874,0.443394673,30.71887967
1505260800,293.96,294.5,257.05,6341.5,1730175.07,276.91,0,17.05,37.09144385,100.7033367,0.368323881,26.91788738
1505347200,276.91,283.77,215,12488.22,3082667.27,215.21,0,61.7,34.442055,155.2102412,0.221905815,18.16063169
1505433600,215.21,270.93,192,14101.49,3291332.29,253,37.79,0,69.77190821,144.1237954,0.484110955,32.61959312
1505520000,253,271.81,235.51,10265.41,2621693.27,249.31,0,3.69,64.78820048,137.5192386,0.471120995,32.02462588
1505606400,249.31,264.39,239.02,4589.96,1143692.64,257.55,8.24,0,68.40047188,127.6964358,0.535649029,34.88095385
1505692800,257.55,306.22,257.11,4121.19,1181549.67,294.57,37.02,0,100.5347239,118.5752619,0.847855803,45.88322324
1505779200,294.57,300,277.41,1858.5,532540.71,284,0,10.57,93.35367218,120.6756003,0.773591944,43.61724502
1505865600,284,294,275.91,1054.54,301038.78,282,0,2,86.68555274,114.0559146,0.760026809,43.18268363
1505952000,282,287,252.1,1909.37,515321.69,257,0,25,80.49372754,130.9090635,0.61488277,38.07600039
1506038400,257,272.97,253.01,1463.53,382707.68,264,7,0,81.74417558,121.5584161,0.672468252,40.20813256
1506124800,264,286.23,255.11,2821.68,788085.05,285.93,21.93,0,97.83530589,112.8756721,0.866752809,46.43104352
1506211200,285.93,294.61,275,5544.62,1574147.48,282,0,3.93,90.84706976,108.7431241,0.835428175,45.5168002
1506297600,282,299,281.34,5861.15,1702847.03,294.42,12.42,0,96.77799335,100.9757581,0.958427995,48.9386384
1506384000,294.42,296.81,286.24,4527.17,1320510.93,287.9,0,6.52,89.86527954,100.2832039,0.896114962,47.26058178
1506470400,287.9,313,286.13,5467.39,1626645.28,309.74,21.84,0,105.286331,93.12011795,1.130650748,53.06598226
1506556800,309.74,311.81,296.89,6521.08,1984843.83,302.44,0,7.3,97.76587878,93.76868095,1.042628283,51.04346647
1506643200,302.44,303,274,10997.93,3187358.83,292.22,0,10.22,90.78260173,97.29091803,0.933104585,48.26974145
1506729600,292.22,307.49,292.22,3997.83,1207595.88,304.36,12.14,0,96.43813018,90.34156674,1.067483481,51.63201984
1506816000,304.36,306,294,5034.38,1511264.71,303.95,0,0.41,89.54969231,84.29859769,1.062291601,51.51025202
1506902400,303.95,305,295,3670.04,1104217.48,296.5,0,7.45,83.15328571,85.72726928,0.96997474,49.23792779
1506988800,296.5,301.99,283.18,5518.95,1614235.08,292.48,0,4.02,77.2137653,83.6238929,0.92334574,48.0072678
1507075200,292.48,297.97,288,3989.57,1168807.66,291.99,0,0.49,71.69849635,78.1407577,0.917555684,47.85027582
1507161600,291.99,297.44,285.53,3370.96,982644.49,294.81,2.82,0,69.39717519,72.559275,0.95642046,48.88624299
1507248000,294.81,310.8,293.78,3510.89,1054697,310.8,15.99,0,80.4302341,67.37646965,1.193743669,54.41582287
1507334400,310.8,318.5,303.6,2120.52,658190.78,311.01,0.21,0,74.89521738,62.56386467,1.197100239,54.48546306
1507420800,311.01,317.07,309,2952.08,921220.96,311.07,0.06,0,69.605559,58.0950172,1.19813303,54.50684803
1507507200,311.07,312.13,286.65,4852.92,1452816.74,297.19,0,13.88,64.63373335,67.82537311,0.952943278,48.79523581
1507593600,297.19,308.56,293,6691.84,2011440.17,298.64,1.45,0,61.46703811,62.9807036,0.975966202,49.39184694
1507680000,298.64,305.5,298.02,3715.65,1122578.04,304.01,5.37,0,62.44653539,58.48208192,1.067789199,51.63917093
1507766400,304.01,310,302.71,7775.58,2381102.13,303.99,0,0.02,57.98606858,54.32479035,1.067396086,51.62997517
1507852800,303.99,353.96,297,17766.25,5782386.5,337.96,33.97,0,87.81420654,50.44444818,1.740810133,63.51443728
1507939200,337.96,349.8,335,7698,2644022.46,342,4.04,0,85.58176321,46.84127331,1.827058856,64.6275493
1508025600,342,348,316.17,9964.35,3311218.81,337.96,0,4.04,79.46878013,47.53546808,1.671778639,62.57174957
1508112000,337.96,354,332.78,8634.15,2946408.58,335.19,0,2.77,73.79243869,46.9100775,1.573061539,61.13579155
1508198400,335.19,336.58,312.65,8092.4,2620614.96,315.19,0,20,68.52155021,63.55935768,1.078071785,51.878467
1508284800,315.19,318,284.68,12779.33,3877210.96,309.7,0,5.49,63.62715377,64.50940356,0.986323703,49.65573845
1508371200,309.7,315,300,8637.51,2662555.18,308.66,0,1.04,59.08235707,60.94158902,0.969491574,49.22547458
1508457600,308.66,311.18,302,8696.57,2654276.53,304.51,0,4.15,54.86218871,60.73861837,0.903250521,47.45830941
1508544000,304.51,305.34,290,8498.8,2531002.63,298.94,0,5.57,50.94346094,61.97014563,0.822064567,45.11720287
1508630400,298.94,306.99,290,7149.29,2113555.82,293.79,0,5.15,47.3046423,62.69370666,0.754535739,43.00486575
1508716800,293.79,294.6,272.2,9580.48,2720877.48,281.09,0,12.7,43.92573928,70.91558476,0.619408829,38.24907075
1508803200,281.09,310,275.5,13991.58,4230858.49,297.38,16.29,0,57.07818648,65.85018584,0.86678854,46.43206885
1508889600,297.38,300,281,9624.76,2818151.89,294.49,0,2.89,53.00117316,64.03660114,0.827669992,45.28552724
1508976000,294.49,299.76,291.03,7760.28,2290879.1,294.71,0.22,0,49.43537507,59.4625582,0.831369799,45.39606362
1509062400,294.71,298.1,292.03,6230.29,1840292.6,296.33,1.62,0,47.52427685,55.21523262,0.860709529,46.25706031
1509148800,296.33,297,290.1,5833.59,1711301.74,291.87,0,4.46,44.12968565,55.73128743,0.791829647,44.19112321
1509235200,291.87,309.4,291.86,8975.34,2702954.94,305,13.13,0,54.10756525,51.75048118,1.045547095,51.11332305
1509321600,305,316,302.1,8863.26,2725859.28,307.25,2.25,0,52.49273916,48.05401824,1.092369402,52.20729193
1509408000,307.25,309.99,304.01,7631.45,2344790.92,304.9,0,2.35,48.74325779,46.97158837,1.037717895,50.92549353
1509494400,304.9,305.9,286.34,9807.45,2938149.94,287.01,0,17.89,45.26159652,61.50647491,0.735883443,42.39244552
1509580800,287.01,293,274.73,13163.53,3736468.51,283.12,0,3.89,42.02862534,61.00315528,0.688958221,40.79190429
1509667200,283.12,307,282,8057.59,2360525.71,304.08,20.96,0,59.98658067,56.64578704,1.058976913,51.43218975
1509753600,304.08,304.99,292.11,7765.91,2315342.78,298.04,0,6.04,55.70182491,58.6396594,0.949900212,48.71532432
1509840000,298.04,302.14,293.13,6614.04,1967164.34,295.53,0,2.51,51.72312313,56.9611123,0.908042716,47.59027188
1509926400,295.53,305.58,290.11,7466.26,2218959.5,297.97,2.44,0,50.46861434,52.89246142,0.954174054,48.82748556
1510012800,297.97,303.52,287,9302.34,2731426.72,291.78,0,6.19,46.86371331,55.30442846,0.847377228,45.86920394
1510099200,291.78,320,290.02,15603.8,4729826.12,303.02,11.24,0,54.75630522,51.35411214,1.066249672,51.60313811
1510185600,303.02,329,299.5,11093.28,3509086.96,317.87,14.85,0,65.69514056,47.68596127,1.377662079,57.94187876
1510272000,317.87,322.65,285.82,15463.01,4721270.61,293.5,0,24.37,61.00263052,68.64982118,0.888605818,47.05088852
1510358400,293.5,318,291.91,10764.3,3256927.49,310.02,16.52,0,73.16529977,63.74626253,1.147758266,53.43982535
1510444800,310.02,316.99,281.01,20889.35,6276531.03,305.24,0,4.78,67.93920693,63.97295806,1.061998835,51.50336736
1510531200,305.24,318.88,303.7,15399.84,4804508.58,312.99,7.75,0,70.83640643,59.40346106,1.192462614,54.38918804
1510617600,312.99,337.54,312.94,17479.57,5682689.3,335.61,22.62,0,88.39666312,55.1603567,1.60253973,61.57599484
1510704000,335.61,339,324,15409.67,5116263.34,331.33,0,4.28,82.08261575,55.50033122,1.478957223,59.66045761
1510790400,331.33,334.75,321.41,14065.86,4612016.7,331.49,0.16,0,76.37957177,51.53602184,1.482061848,59.71091531
1510876800,331.49,334.6,323.84,18033.21,5951281.48,331.23,0,0.26,70.92388807,48.11487743,1.47405318,59.58049697
1510963200,331.23,349.9,326.01,14227.06,4735608.57,346.66,15.43,0,81.28789607,44.67810047,1.819412536,64.5316183
1511049600,346.66,373.56,343.07,19280.47,6853939.68,354.15,7.49,0,82.97161778,41.48680758,1.999951855,66.66613171
1511136000,354.15,372.5,353.9,18060.1,6522412.41,367.42,13.27,0,90.31507365,38.52346418,2.344417242,70.09942458
1511222400,367.42,375.5,350.02,25815.42,9403802.37,362.12,0,5.3,83.86399696,41.07178817,2.041888135,67.1256813
1511308800,362.12,384.84,359,17927.22,6582637.83,380.65,18.53,0,96.40371146,38.13808901,2.527754116,71.65335318
1511395200,380.65,425,370.02,25137.24,9979407.1,405,24.35,0,113.8677321,35.4139398,3.215336467,76.2771013
1511481600,405,475,392.8,29973.4,12904066.22,469,64,0,169.7343226,32.88437267,5.161549662,83.77031664
1511568000,469,484.47,450,21143.58,9825209.52,461.82,0,7.18,157.6104424,37.71548891,4.178931442,80.69099753
1511654400,461.82,465,436.14,21559.21,9794537.68,462.84,1.02,0,147.3725537,35.02152541,4.208056387,80.79897901
1511740800,462.84,486.94,453,23533.56,11092308.97,472.31,9.47,0,146.3159427,32.51998788,4.499261908,81.81574152
1511827200,472.31,477.5,453.5,23650.24,11077396.79,466.17,0,6.14,135.864804,36.33713161,3.7390074,78.89853474
1511913600,466.17,515,385,50344.11,23217199.77,421.7,0,44.47,126.1601751,78.21162221,1.613061736,61.73071665
1512000000,421.7,460,387.01,44559.85,18862295.63,427.43,5.73,0,122.878734,72.62507776,1.691960103,62.85234692
1512086400,427.43,465.97,413.74,32723.55,14317733.79,457.51,30.08,0,144.1816816,67.43757221,2.138002257,68.13259144
1512172800,457.51,471.91,445,25506.76,11749838.63,457.63,0.12,0,134.0029901,62.62060276,2.139918559,68.15204022
1512259200,457.63,485.9,440.11,24259.95,11328969.12,460.3,2.67,0,127.1013479,58.14770257,2.185836109,68.6110658
1512345600,460.3,470.98,445,22821.77,10495993.46,466.67,6.37,0,124.3926802,53.99429524,2.303811535,69.73192964
1512432000,466.67,468.67,445.21,25124.57,11542893.64,452.26,0,14.41,115.5074888,64.54755987,1.789494274,64.151208
1512518400,452.26,455.1,400,37604.29,16319473.42,411.01,0,41.25,107.2569538,101.1870199,1.059987279,51.4560109
1512604800,411.01,427.61,375.01,40363.47,16448315.18,406.33,0,4.68,99.59574286,98.6393756,1.009695593,50.24122044
1512691200,406.33,456.78,390,40380.88,17138384.6,442.56,36.23,0,128.7117612,91.59370591,1.40524679,58.42422473
1512777600,442.56,488,426.4,41096.91,18959683.2,460,17.44,0,136.958064,85.05129835,1.610299509,61.69021997
1512864000,460,460.05,403.2,34191.63,14810733.68,427.35,0,32.65,127.1753451,111.6262056,1.139296498,53.25566134
1512950400,427.35,512,427.35,29217.01,13524545.46,508.7,81.35,0,199.4413919,103.6529052,1.92412737,65.80176328
1513036800,508.7,639.27,494.89,57688.7,32272500.99,620,111.3,0,296.4955782,96.24912626,3.080501504,75.49320839
1513123200,620,705.69,539.93,56293.24,35464491.73,683.99,63.99,0,339.3073226,89.37418867,3.796480031,79.15137781
1513209600,683.99,747.6,630.5,57181.08,39405168.61,679.76,0,4.23,315.0710853,87.22031805,3.612358821,78.31911959
1513296000,679.76,689,594.6,38846.45,25295708.27,674.95,0,4.81,292.5660078,85.80029534,3.409848493,77.32348398
1513382400,674.95,712,669.22,26513.5,18224734.51,682.81,7.86,0,279.5284358,79.67170281,3.508503345,77.8196904
1513468800,682.81,728,680.33,31020.47,21975505.95,707.64,24.83,0,284.3921189,73.9808669,3.844130663,79.35646106
1513555200,707.64,798.88,638,44690.73,32105763.14,784,76.36,0,340.4383962,68.69651926,4.955686253,83.2093237
1.51E+12,707.62,798.88,638,45673.70777,32799947.57,784,0,0,316.1213679,63.78962503,4.955686253,83.2093237
1.51E+12,784,864.9,729.01,69423.62125,55123972.02,798,14,0,307.5412702,59.23322324,5.192040097,83.85023378
1.51E+12,798,828,661,72526.28416,55604509.75,790.21,0,7.79,285.5740366,62.79227872,4.547916438,81.97521518
1.51E+12,794.62,845.99,705.98,78222.53998,62052521.65,782.41,0,7.8,265.1758911,66.10711596,4.011306306,80.04512319
1.51E+12,784,796,504.99,154630.4948,98661808.48,635.97,0,146.44,246.234756,207.8251791,1.184816763,54.22957125
1.51E+12,635.15,714.99,627.97,79001.05634,53738833.88,640.34,4.37,0,233.0165592,192.9805235,1.207461535,54.69909741
1.51E+12,640.33,667.64,563.49,95431.94156,59101715.15,658,17.66,0,234.0325192,179.1962003,1.306012732,56.635105
1.51E+12,659.4,744,599.99,78544.84102,55108579.68,714.95,56.95,0,274.2659107,166.3964718,1.648267585,62.23946532
1.51E+12,713.12,750,712.56,60052.47905,44216631.9,750,35.05,0,289.7254885,154.5110095,1.875112262,65.21874943
1.51E+12,750,766.05,693.18,51339.2782,38102246.99,739.89,0,10.11,269.0308108,153.5845088,1.751679338,63.65855621
1.51E+12,739.89,744.93,645.88,72679.61288,50030889.11,707.89,0,32,249.8143243,174.6141868,1.430664535,58.85898751
1.51E+12,709.5,757.87,703,64028.12647,46838775.82,733.99,26.1,0,258.070444,162.1417448,1.591634802,61.41431659
1.51E+12,732.9,735,635.82,89879.99994,61752153.66,681.06,0,52.93,239.6368408,203.4901916,1.177633373,54.07858769
1.51E+12,680.01,740,672.86,62628.24458,44570894.8,733.98,52.92,0,275.4399236,188.9551779,1.457699792,59.31154801
1.51E+12,733.01,763.55,716.8,53909.25885,40049370.59,754.99,21.01,0,276.7756434,175.4583795,1.57744329,61.20186217
1.51E+12,754.99,899.5,749.06,113257.7836,95749946.06,855.28,100.29,0,357.2959546,162.9256381,2.193000185,68.68149258
1.51E+12,855.13,950.01,810,89041.45688,78173093.71,934.03,78.75,0,410.524815,151.2880925,2.713530246,73.07144593
1.52E+12,934.03,1009.72,890.01,102894.4738,97740086.59,940,5.97,0,387.1716139,140.4818002,2.756026854,73.37612219
1.52E+12,940,1045,930,97374.0163,95739901.48,959.3,19.3,0,378.8164986,130.4473859,2.903979224,74.38510959
1.52E+12,958,1017.56,950,71954.27895,71196052.34,1004.11,44.81,0,396.5681773,121.1297155,3.273913223,76.60223903
1.52E+12,1003.71,1125,999.9,65278.81957,70126945.17,1123.09,118.98,0,487.2218789,112.477593,4.331723911,81.24434017
1.52E+12,1123.09,1239.18,910,158831.548,176599793.2,1133.18,10.09,0,462.5103161,104.4434792,4.428331187,81.57813211
1.52E+12,1133.18,1326.5,1104.85,118702.8868,143246762.1,1291,157.82,0,587.293865,96.98323067,6.055622822,85.82690678
1.52E+12,1291,1440,1201.1,160185.0129,210902815.5,1247,0,44,545.3443032,134.055857,4.06803787,80.26849788
1.52E+12,1249.03,1332.49,1021,194546.2939,230792205.9,1138.93,0,108.07,506.3911387,232.5504387,2.177554003,68.5292524
1.52E+12,1136.45,1288.5,1069.01,93763.47261,113367281.8,1253.87,114.94,0,585.1603431,215.9396931,2.709832244,73.04460325
1.52E+12,1253.87,1427.01,1252,75893.43201,101824625.3,1388.02,134.15,0,677.5131757,200.5154293,3.378858067,77.16299581
1.52E+12,1388.1,1391.89,1220.89,98391.19585,128517479.7,1347,0,41.02,629.1193774,227.2128986,2.768854151,73.46673657
1.52E+12,1347.99,1383.13,1258.12,69236.70476,90732886.24,1271,0,76,584.182279,286.9834059,2.035596021,67.05754016
1.52E+12,1268.67,1275.01,780,343889.3651,355819297.5,1000,0,271,542.4549734,537.4845912,1.009247488,50.23012317
1.52E+12,999.99,1075.51,755,436333.6733,398063123.7,1000,0,0,503.7081896,499.0928346,1.009247488,50.23012317
1.52E+12,1000,1075.2,924.21,294545.7121,296964713.7,994,0,6,467.7290332,469.4433465,0.9963482,49.908538
1.52E+12,993.3,1079,941,167954.1125,171217738.3,1032.5,38.5,0,472.8198165,435.9116788,1.084668843,52.03075044
1.52E+12,1032.5,1165.4,1031,123352.5836,137333158.1,1152.75,120.25,0,559.2969725,404.7751304,1.381747372,58.01401896
1.52E+12,1150.37,1152.69,998,175031.0079,186353755.6,1049,0,103.75,519.3471887,479.612621,1.08284721,51.98879711
1.52E+12,1049,1090.15,908,185212.52,185276703.4,993,0,56,482.250961,501.3545767,0.961895998,49.02889853
1.52E+12,993,1030,909,160159.6396,156053774.3,980,0,13,447.8044638,478.5435355,0.93576536,48.34084643
1.52E+12,981.2,1074,953.09,134257.7947,135793371.3,1061,81,0,496.8184306,444.3618544,1.118049233,52.78674432
1.52E+12,1060.34,1115,1030.26,119415.935,127855243.2,1056.52,0,4.48,461.3313999,417.1017219,1.106040507,52.51753246
1.52E+12,1055.29,1082,986,145113.638,150237011.3,1051.03,0,5.49,428.379157,392.7987418,1.090581795,52.16642553
1.52E+12,1051.03,1127.99,1032.2,96894.33839,105043056.4,1118.99,67.96,0,465.7406458,364.7416888,1.276905438,56.08074084
1.52E+12,1118.99,1277,1112,143510.7359,173283524.9,1251.96,132.97,0,565.4434568,338.688711,1.669507835,62.53991141
1.52E+12,1251.96,1258.89,1161.65,105292.7681,126282956.2,1177.01,0,74.95,525.0546385,389.4466602,1.348206807,57.41431305
