unix,close,gains,losses,gains ave,losses ave,rs,rsi
1.51321E+12,272.4,,,,,,
1.5133E+12,294,21.6,0,,,,
1.51338E+12,293.97,0,0.03,,,,
1.51347E+12,311.4,17.43,0,,,,
1.51356E+12,352,40.6,0,,,,
1.51356E+12,352,0,0,,,,
1.51364E+12,338.48,0,13.52,,,,
1.51373E+12,302.7,0,35.78,,,,
1.51381E+12,302,0,0.7,,,,
1.5139E+12,250.99,0,51.01,,,,
1.51399E+12,253.44,2.45,0,,,,
1.51407E+12,262.9,9.46,0,,,,
1.51416E+12,261.2,0,1.7,,,,
1.51425E+12,277.98,16.78,0,,,,
1.51433E+12,262.59,0,15.39,7.737142857,8.437857143,0.916955896,47.83395893
1.51442E+12,244.68,0,17.91,7.184489796,25.74515306,0.27906184,21.81769729
1.51451E+12,238.27,0,6.41,6.671311953,30.31621356,0.220057559,18.03665388
1.51459E+12,206.03,0,32.24,6.194789671,60.39076973,0.102578419,9.303503232
1.51468E+12,223.69,17.66,0,23.41230469,56.07714332,0.417501736,29.45334919
1.51476E+12,222.61,0,1.08,21.73999722,53.15163308,0.409018424,29.02860724
1.51485E+12,247.33,24.72,0,44.90714027,49.35508786,0.909878641,47.64065221
1.51494E+12,238.77,0,8.56,41.6994874,54.38972445,0.766679512,43.39663797
1.51502E+12,233,0,5.77,38.72095258,56.27474413,0.688069811,40.76074383
1.51511E+12,240.54,7.54,0,43.49517025,52.25511955,0.832361894,45.42562779
1.5152E+12,275.28,34.74,0,75.12837238,48.52261101,1.548316771,60.75841075
1.51528E+12,269.01,0,6.27,69.76206007,51.32671022,1.359176533,57.61232846
1.51537E+12,252.65,0,16.36,64.77905578,64.02051663,1.011848376,50.29446493
1.51546E+12,244.48,0,8.17,60.15198036,67.61762259,0.889590288,47.07847483
1.51554E+12,247.63,3.15,0,59.00541034,62.7877924,0.939759276,48.44721135
1.51563E+12,223.77,0,23.86,54.79073817,82.16295009,0.666854563,40.0067635
1.51572E+12,233.11,9.34,0,60.21711402,76.29416794,0.789275454,44.11145596
1.5158E+12,257.98,24.87,0,80.78589159,70.84458452,1.140325575,53.2781362
1.51589E+12,234.12,0,23.86,75.01547076,89.64425705,0.836812901,45.55787366
1.51597E+12,229.5,0,4.62,69.65722285,87.86109583,0.792810768,44.22166478
1.51606E+12,179.28,0,50.22,64.68170693,131.8053033,0.490736756,32.91907534
1.51615E+12,182.44,3.16,0,63.22158501,122.3906388,0.516555724,34.0611107
