unix,open,high,low,close,volume
1610409600000,35487.44,35543.09,35136.4,35218.69,16.26547076
1610406000000,34429.35,35697.03,34408.98,35487.44,449.9419584
1610402400000,33963.68,34887.91,33689.19,34429.35,258.4781692
1610398800000,33372.8,34734.67,33056.3,33963.68,656.3022565
1610395200000,32246.51,33399.99,31370.99,33372.8,531.7618941
1610391600000,32510.68,32869.5,31070.07,32246.51,507.7661865
1610388000000,32773.07,33284.29,32387.95,32510.68,474.6594651
1610384400000,31716.65,33600,30500,32773.07,963.697036
1610380800000,31497.67,32195.41,30266,31716.65,1228.693283
1610377200000,33202.2,33647.4,31298.65,31497.67,797.7344889
1610373600000,32725.3,33827.42,30250,33202.2,1696.47052
1610370000000,34257.1,34407.75,32652.3,32725.3,887.874218
1610366400000,34112.22,35073.97,33241.65,34257.1,204.1923927
1610362800000,35367.54,35451.3,34000,34112.22,112.7076437
1610359200000,35699.99,36323.25,35254.92,35367.54,229.9711511
1610355600000,35440.84,35740.89,34713.78,35699.99,82.73255768
1610352000000,34322.54,35840,34071.91,35440.84,314.575704
1610348400000,32464.8,34754.74,32300,34322.54,403.6919767
1610344800000,34886.12,34886.12,32300,32464.8,734.6423873
1610341200000,35501.87,35863.88,34441.23,34886.12,513.7462765
1610337600000,35435.13,35961.75,34284.42,35501.87,574.8190731
1610334000000,36333.46,36653.34,33100,35435.13,1106.540662
1610330400000,37248.81,37421.97,36057.94,36333.46,368.9123628
1610326800000,37218.34,37816.9,36652.01,37248.81,164.4728795
1610323200000,38177.58,38297.56,36664.9,37218.34,268.6311304
1610319600000,38466.99,38700.18,37944.98,38177.58,156.3951045
1610316000000,38068.55,39079.59,37875.44,38466.99,103.8603454
1610312400000,37725.35,38284.85,37522,38068.55,311.6043659
1610308800000,37428.7,37734.38,34480,37725.35,1149.179132
1610305200000,38090.25,38543.02,37100,37428.7,221.6561466
1610301600000,38651.28,38821.56,37731.65,38090.25,216.6404961
1610298000000,39319,39431.51,37173,38651.28,617.1089478
1610294400000,39725.45,39828.44,39237.94,39319,95.31324369
1610290800000,39505.27,39999.9,39154.54,39725.45,82.1602093
1610287200000,39870.33,39922.2,39327.14,39505.27,57.43665049
1610283600000,39643.34,40196.43,39508.18,39870.33,42.89524899
1610280000000,39255.6,39888.16,38635.01,39643.34,242.615358
1610276400000,40521.26,40521.26,38975.01,39255.6,278.4476084
1610272800000,40870.92,40923.66,40100,40521.26,98.73935145
1610269200000,40920.36,41158.68,40809.41,40870.92,38.27198367
1610265600000,41036.29,41145.7,40689.61,40920.36,42.12806798
1610262000000,41026.05,41196.56,40815.37,41036.29,54.74527681
1610258400000,40590.85,41196.62,40500,41026.05,63.84162195
1610254800000,40482.59,40780,40411.71,40590.85,61.4470983
1610251200000,40490.5,40762.99,40200,40482.59,70.62849507
1610247600000,41091.82,41136.59,40388.21,40490.5,191.3560469
1610244000000,41264.9,41264.9,40957.65,41091.82,85.14271887
1610240400000,40704.97,41470.21,40539.4,41264.9,236.1019141
1610236800000,40262.39,40861.44,40245.15,40704.97,98.0326119
1610233200000,40463.03,40605.07,40129.17,40262.39,72.24038009
1610229600000,40892.21,40915.49,40300.04,40463.03,83.16399002
1610226000000,40737.82,40900,40654.43,40892.21,47.78120276
1610222400000,40770.92,40884.62,40182.96,40737.82,67.89764125
1610218800000,40750,41036.3,40591.28,40770.92,54.80361821
1610215200000,40510.54,40905.7,40493.71,40750,84.75441748
1610211600000,40114.04,40684.55,40103.01,40510.54,74.0005594
1610208000000,40666.81,40711.71,40000,40114.04,84.47290188
1610204400000,40923.69,41084.1,40280.05,40666.81,67.11312941
1610200800000,41102.88,41419.15,40813.08,40923.69,424.7876241
1610197200000,40957.36,41312.06,40744.6,41102.88,59.59764178
1610193600000,40631.27,40993.66,40486.32,40957.36,68.42429651
1610190000000,40430.47,41286.58,40319.05,40631.27,137.7286226
1610186400000,40312.85,40790.74,40149.89,40430.47,29.78210762
1610182800000,40239.66,40824.96,40234.44,40312.85,58.61556062
1610179200000,39693.17,40324.69,39318.7,40239.66,108.8161431
1610175600000,39031.74,39755.97,38768.82,39693.17,70.98406063
1610172000000,39306.51,39647.26,38925.02,39031.74,101.7897751
1610168400000,40254.07,40254.07,38993.75,39306.51,298.6316361
1610164800000,40279.03,40546.29,39830.82,40254.07,72.92941639
1610161200000,40000,40419.9,39750,40279.03,78.00214669
1610157600000,40250,40605.57,39568.31,40000,144.0712689
1610154000000,40351.56,40351.56,39826.08,40250,125.7499069
1610150400000,40635.59,41016.85,40050,40351.56,108.3460709
1610146800000,40744.54,41118.42,40514.63,40635.59,246.8677025
1610143200000,40102.36,40851.77,39757.82,40744.54,122.8746046
1610139600000,39101.24,40112.05,38692.01,40102.36,294.8683862
1610136000000,40420.18,40567,38948.99,39101.24,894.4955802
1610132400000,39894.12,40737.82,39894.12,40420.18,503.4601173
1610128800000,41065.38,41186.14,39810.15,39894.12,339.4737213
1610125200000,41376.48,41620,40925.27,41065.38,187.2876928
1610121600000,40916.92,41688.84,40413.89,41376.48,293.0143301
1610118000000,41526.95,41999.99,39800.11,40916.92,489.3079918
1610114400000,41344.26,41632.1,41000.24,41526.95,215.1630692
1610110800000,41340,41722.36,40740.82,41344.26,339.9711533
1610107200000,41322.77,41799,40888.12,41340,147.8768373
1610103600000,40758.94,41520,40415.91,41322.77,218.62092
1610100000000,39386.04,41082.92,39267.06,40758.94,451.3672653
1610096400000,38709.49,39400,38246.71,39386.04,76.25732275
1610092800000,38984.54,39025.98,38439.54,38709.49,32.03814436
1610089200000,38544.15,39147.3,38361.45,38984.54,148.4337023
1610085600000,38020.42,38726.5,37574.79,38544.15,78.35246617
1610082000000,38755.01,38773.64,37909,38020.42,63.61572595
1610078400000,38474.78,38986.91,38218.06,38755.01,62.33374288
1610074800000,37270.74,38500,37130.52,38474.78,156.9291007
1610071200000,38711.56,38721.61,36588.03,37270.74,505.8955534
1610067600000,38891.68,39190.79,37900.45,38711.56,330.1247527
1610064000000,39500,39749,38840.69,38891.68,115.5331199
1610060400000,39725.94,39731.65,38601.94,39500,164.7632066
1610056800000,39742.86,39995.67,39205.54,39725.94,202.8484955
1610053200000,39127.7,39937,39127.7,39742.86,234.0341537
1610049600000,39111.15,39235.27,38397.75,39127.7,186.8440409
1610046000000,39000,39250,37500,39111.15,393.3582246
1610042400000,39812.58,40396,36129.05,39000,1159.710383
1610038800000,39185.61,39840,39150,39812.58,299.0939558
1610035200000,39038.65,39672.5,39016.75,39185.61,442.6881704
1610031600000,38523.53,39038.65,38194.41,39038.65,387.5761064
1610028000000,38250.66,38694.93,38184.54,38523.53,254.8039732
1610024400000,38044.72,38500,37990,38250.66,207.1352312
1610020800000,37878.66,38200,37521.77,38044.72,144.7474792
1610017200000,37102.27,38022.11,37102.27,37878.66,94.22615788
1610013600000,37538.94,37561.36,36991.97,37102.27,54.01061241
1610010000000,37275.84,37560.91,36950.65,37538.94,49.32111071
1610006400000,36941.11,37388,36368.06,37275.84,58.09807176
1610002800000,37260.51,37442.03,36800,36941.11,69.12235037
1609999200000,37536.63,37624.25,36875.04,37260.51,70.14950708
1609995600000,37557.62,37868.86,37290.78,37536.63,87.14428914
1609992000000,37613.11,37732.91,37169.11,37557.62,76.43733321
1609988400000,37095.87,37824.48,37051.69,37613.11,174.9008312
1609984800000,37023.81,37200,36580,37095.87,155.0404598
1609981200000,37289.72,37333,36780,37023.81,126.5390459
1609977600000,36907.04,37429.11,36543.9,37289.72,272.3810238
1609974000000,36129.04,37030,36086.03,36907.04,256.5467896
1609970400000,36003.55,36511.31,35800,36129.04,84.1791984
1609966800000,36193.48,36621.13,35784.05,36003.55,588.776607
1609963200000,34942.78,36400.01,34358.31,36193.48,750.7306367
1609959600000,35358.55,35850,34800.01,34942.78,283.9180302
1609956000000,35043.09,35384.88,35038.95,35358.55,153.8412708
1609952400000,34720,35200,34650,35043.09,140.0552138
1609948800000,34671.98,35200,34478.15,34720,174.2391922
1609945200000,34348.16,34930.11,34262.66,34671.98,151.8863132
1609941600000,34682.03,34730.1,34169.21,34348.16,135.9423161
1609938000000,35022.62,35180.34,34425.99,34682.03,119.2848422
1609934400000,35050.95,35190.73,34555,35022.62,92.54719358
1609930800000,34540.64,35363.63,34462.91,35050.95,171.8330441
1609927200000,33982.49,34678.66,33923,34540.64,61.38694198
1609923600000,34644.37,34655.81,33685.82,33982.49,128.6203259
1609920000000,34780.15,35053.86,34085.09,34644.37,114.4841459
1609916400000,35277.92,35411.18,34500,34780.15,102.048097
1609912800000,35101.65,35384.36,34908.65,35277.92,103.828359
1609909200000,35480.63,35729.89,34674.35,35101.65,144.9475155
1609905600000,34228.19,35879.69,34204.54,35480.63,437.0388255
1609902000000,33970.08,34250,33751.01,34228.19,56.28006915
1609898400000,33875.24,34200,33853.78,33970.08,83.01719807
1609894800000,33994.52,34089.59,33588.49,33875.24,77.34534933
1609891200000,34090.9,34250.74,33381.21,33994.52,168.9556879
1609887600000,34333.55,34419.24,33786.38,34090.9,110.8017041
1609884000000,33814.82,34536.29,33813.69,34333.55,188.5560184
1609880400000,34095.92,34110.99,33615,33814.82,133.0720456
1609876800000,33814.5,34174.43,33489.77,34095.92,169.3460106
1609873200000,33475.1,34299,33216.44,33814.5,319.8677644
1609869600000,32835.24,33533.4,32747.32,33475.1,238.5403861
1609866000000,32535.14,32877,32333,32835.24,300.5749127
1609862400000,32163.34,32749,31871.03,32535.14,174.1337517
1609858800000,32381.45,32442.52,31988.03,32163.34,105.7834683
1609855200000,31500,32469.62,31169.69,32381.45,135.1011597
1609851600000,31642.68,31946.73,31498.36,31500,46.67905346
1609848000000,31829.78,32074.9,31621.19,31642.68,48.57674842
1609844400000,31369.08,31829.78,31313.92,31829.78,50.74251843
1609840800000,31588.44,31685.69,31128.59,31369.08,25.06285368
1609837200000,31239.87,31810.55,31196.93,31588.44,34.63007142
1609833600000,30862.84,31519.92,30851.42,31239.87,72.96770027
1609830000000,31170.29,31332.98,30784.45,30862.84,21.5730812
1609826400000,30488.15,31300.28,29914.5,31170.29,176.2448306
1609822800000,30917.59,31401,30030,30488.15,178.1882528
1609819200000,31203.46,31565.16,30486,30917.59,140.5224306
1609815600000,32359.67,32597.09,31169.94,31203.46,146.2702612
