unix,open,high,low,close,volume
1610409600000,1088.57,1093.74,1072.63,1076.27,660.0229901
1610406000000,1060.55,1094.76,1059.17,1088.57,4260.327509
1610402400000,1033.09,1074.12,1023.91,1060.55,4763.513452
1610398800000,1017.09,1045.4,1004.58,1033.09,7523.073925
1610395200000,983.03,1020.35,958.88,1017.09,7458.01022
1610391600000,994.13,1006.97,941.12,983.03,8962.321425
1610388000000,997.88,1023.48,982.33,994.13,11018.22595
1610384400000,961.38,1023.31,914.24,997.88,15143.10456
1610380800000,973.21,988.75,903.94,961.38,24317.29113
1610377200000,1035.47,1045.86,965.69,973.21,12494.29276
1610373600000,1025.84,1041.94,923.4,1035.47,19705.31028
1610370000000,1072.18,1078.3,1023.55,1025.84,6239.166814
1610366400000,1066.4,1101.16,1039,1072.18,3936.755177
1610362800000,1112.07,1116.11,1062.58,1066.4,2701.715725
1610359200000,1132.57,1148.37,1109.42,1112.07,3956.736872
1610355600000,1108.42,1132.57,1082.35,1132.57,1422.031054
1610352000000,1070.76,1125.01,1047.61,1108.42,6440.334108
1610348400000,1022.27,1079.57,1005.05,1070.76,7402.737726
1610344800000,1093.74,1093.74,1009,1022.27,7031.739188
1610341200000,1111.97,1128.26,1080,1093.74,2984.260187
1610337600000,1101.2,1133.43,1047.67,1111.97,9166.501947
1610334000000,1185.74,1196.42,1000,1101.2,23280.16525
1610330400000,1207.06,1211.87,1169.22,1185.74,4437.110816
1610326800000,1214.57,1230.21,1186.61,1207.06,2954.468698
1610323200000,1254.86,1260.82,1206.89,1214.57,4260.909456
1610319600000,1273.19,1277.87,1254.86,1254.86,1753.349381
1610316000000,1270.68,1288.99,1262.77,1273.19,1737.432324
1610312400000,1257.34,1273.72,1252.85,1270.68,3285.238438
1610308800000,1261.46,1270,1150,1257.34,12595.24363
1610305200000,1282,1295,1250.48,1261.46,2170.380779
1610301600000,1305.86,1320.2,1275,1282,3528.500337
1610298000000,1298.84,1309.19,1245,1305.86,7102.932652
1610294400000,1306.68,1330,1296.4,1298.84,2473.260602
1610290800000,1296.59,1315.33,1279.67,1306.68,1519.444625
1610287200000,1311.86,1316.7,1285.43,1296.59,1190.856205
1610283600000,1293.34,1326.59,1289.01,1311.86,2526.524277
1610280000000,1266.51,1298.96,1241.92,1293.34,5229.322835
1610276400000,1322.55,1322.55,1260.36,1266.51,4141.732217
1610272800000,1334.18,1342.24,1299,1322.55,2317.24525
1610269200000,1332.48,1349.16,1332.38,1334.18,501.5771956
1610265600000,1348,1352,1322.64,1332.48,1761.889593
1610262000000,1329.05,1349.99,1326.37,1348,1212.954179
1610258400000,1319.94,1332.65,1317.7,1329.05,552.7339591
1610254800000,1323.39,1332.72,1311.16,1319.94,1165.06334
1610251200000,1315.43,1332.39,1308.9,1323.39,1185.147011
1610247600000,1342.81,1345,1309,1315.43,3225.321646
1610244000000,1326.34,1343,1313.58,1342.81,2252.892691
1610240400000,1292.68,1339,1288.86,1326.34,5646.870407
1610236800000,1280.92,1296.92,1280.92,1292.68,1177.585422
1610233200000,1293.01,1297.53,1272.88,1280.92,3262.086279
1610229600000,1293.55,1310.07,1282.3,1293.01,3834.641505
1610226000000,1275.72,1299.5,1267.41,1293.55,3216.983688
1610222400000,1233.03,1277.8,1222.75,1275.72,5046.070649
1610218800000,1227.21,1239.91,1224.05,1233.03,1968.058952
1610215200000,1225.09,1234.07,1223.4,1227.21,1142.55283
1610211600000,1204.22,1228,1204.09,1225.09,1370.498765
1610208000000,1223.57,1228.62,1198.85,1204.22,1365.782704
1610204400000,1230,1233,1212.96,1223.57,3026.40807
1610200800000,1224.19,1240,1223.18,1230,8555.651344
1610197200000,1224.73,1232.04,1221,1224.19,776.641612
1610193600000,1222.04,1230,1213.77,1224.73,910.5883763
1610190000000,1220.65,1239,1217.02,1222.04,1440.920405
1610186400000,1213.56,1230.92,1206.59,1220.65,1125.469239
1610182800000,1209.9,1224.03,1206.59,1213.56,1996.746106
1610179200000,1197.85,1214.89,1186.46,1209.9,554.4988985
1610175600000,1181.02,1201.11,1175.95,1197.85,894.6649964
1610172000000,1185.05,1196.94,1179.39,1181.02,904.4508853
1610168400000,1222.34,1222.34,1182.24,1185.05,1731.369157
1610164800000,1227.74,1227.83,1210.3,1222.34,883.2607505
1610161200000,1200.41,1232.27,1193.08,1227.74,2347.749842
1610157600000,1198.41,1209.51,1179.28,1200.41,1340.781754
1610154000000,1197.99,1200,1173.62,1198.41,2848.42742
1610150400000,1220.15,1236,1184.13,1197.99,3950.88568
1610146800000,1218.93,1231,1210.29,1220.15,1881.023582
1610143200000,1192.98,1220.02,1167.54,1218.93,1690.805498
1610139600000,1145.45,1192.98,1136.19,1192.98,3882.791905
